Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 16

step 00000 (0.0%) | loss: 9.011729 | lrm: 1.00 | dt: 11476ms | tok/sec: 45,685 | mfu: 15.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.194151 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,350 | mfu: 66.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.985328 | lrm: 1.00 | dt: 2711ms | tok/sec: 193,367 | mfu: 66.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.581259 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,315 | mfu: 66.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.163479 | lrm: 1.00 | dt: 2713ms | tok/sec: 193,243 | mfu: 66.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.803669 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,335 | mfu: 66.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.493106 | lrm: 1.00 | dt: 2711ms | tok/sec: 193,388 | mfu: 66.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.248738 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,290 | mfu: 66.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.032979 | lrm: 1.00 | dt: 2713ms | tok/sec: 193,238 | mfu: 66.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.834470 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,303 | mfu: 66.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.682371 | lrm: 1.00 | dt: 2713ms | tok/sec: 193,261 | mfu: 66.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.535172 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,294 | mfu: 66.0% | epoch: 1 | remaining: 297s    
step 00012 (0.9%) | loss: 6.399206 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,336 | mfu: 66.0% | epoch: 1 | remaining: 295s    
step 00013 (1.8%) | loss: 6.294825 | lrm: 1.00 | dt: 2711ms | tok/sec: 193,372 | mfu: 66.0% | epoch: 1 | remaining: 292s    
step 00014 (2.7%) | loss: 6.202509 | lrm: 1.00 | dt: 2713ms | tok/sec: 193,248 | mfu: 66.0% | epoch: 1 | remaining: 289s    
step 00015 (3.6%) | loss: 6.117095 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,316 | mfu: 66.0% | epoch: 1 | remaining: 286s    
step 00016 (4.5%) | loss: 6.043370 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,294 | mfu: 66.0% | epoch: 1 | remaining: 284s    
step 00017 (5.4%) | loss: 5.975711 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,337 | mfu: 66.0% | epoch: 1 | remaining: 281s    
step 00018 (6.3%) | loss: 5.917492 | lrm: 1.00 | dt: 2713ms | tok/sec: 193,219 | mfu: 66.0% | epoch: 1 | remaining: 278s    
step 00019 (7.2%) | loss: 5.864440 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,325 | mfu: 66.0% | epoch: 1 | remaining: 276s    
step 00020 (8.1%) | loss: 5.806636 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,323 | mfu: 66.0% | epoch: 1 | remaining: 273s    
step 00021 (9.0%) | loss: 5.762543 | lrm: 1.00 | dt: 2713ms | tok/sec: 193,284 | mfu: 66.0% | epoch: 1 | remaining: 270s    
step 00022 (9.9%) | loss: 5.725459 | lrm: 1.00 | dt: 2713ms | tok/sec: 193,258 | mfu: 66.0% | epoch: 1 | remaining: 267s    
step 00023 (10.8%) | loss: 5.681730 | lrm: 1.00 | dt: 2713ms | tok/sec: 193,256 | mfu: 66.0% | epoch: 1 | remaining: 265s    
step 00024 (11.8%) | loss: 5.648014 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,308 | mfu: 66.0% | epoch: 1 | remaining: 262s    
step 00025 (12.7%) | loss: 5.608478 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,311 | mfu: 66.0% | epoch: 1 | remaining: 259s    
step 00026 (13.6%) | loss: 5.572330 | lrm: 1.00 | dt: 2711ms | tok/sec: 193,360 | mfu: 66.0% | epoch: 1 | remaining: 257s    
step 00027 (14.5%) | loss: 5.540103 | lrm: 1.00 | dt: 2711ms | tok/sec: 193,402 | mfu: 66.1% | epoch: 1 | remaining: 254s    
step 00028 (15.4%) | loss: 5.513988 | lrm: 1.00 | dt: 2713ms | tok/sec: 193,252 | mfu: 66.0% | epoch: 1 | remaining: 251s    
step 00029 (16.3%) | loss: 5.490148 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,298 | mfu: 66.0% | epoch: 1 | remaining: 248s    
step 00030 (17.2%) | loss: 5.463029 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,298 | mfu: 66.0% | epoch: 1 | remaining: 246s    
step 00031 (18.1%) | loss: 5.430457 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,328 | mfu: 66.0% | epoch: 1 | remaining: 243s    
step 00032 (19.0%) | loss: 5.400902 | lrm: 1.00 | dt: 2711ms | tok/sec: 193,359 | mfu: 66.0% | epoch: 1 | remaining: 240s    
step 00033 (19.9%) | loss: 5.368656 | lrm: 1.00 | dt: 2713ms | tok/sec: 193,274 | mfu: 66.0% | epoch: 1 | remaining: 238s    
step 00034 (20.8%) | loss: 5.333495 | lrm: 1.00 | dt: 2712ms | tok/sec: 193,309 | mfu: 66.0% | epoch: 1 | remaining: 235s    
