Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 8,388,608
  lm_head                 : 2,097,152
  transformer_matrices    : 4,194,560
  scalars                 : 16
  total                   : 16,777,488
Estimated FLOPs per token: 6.920755e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.010738 | lrm: 1.00 | dt: 9824ms | tok/sec: 53,369 | mfu: 5.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.303073 | lrm: 1.00 | dt: 925ms | tok/sec: 566,746 | mfu: 56.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.684669 | lrm: 1.00 | dt: 925ms | tok/sec: 566,945 | mfu: 56.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.202394 | lrm: 1.00 | dt: 925ms | tok/sec: 567,077 | mfu: 56.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.805017 | lrm: 1.00 | dt: 924ms | tok/sec: 567,126 | mfu: 56.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.480635 | lrm: 1.00 | dt: 924ms | tok/sec: 567,155 | mfu: 56.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.223215 | lrm: 1.00 | dt: 924ms | tok/sec: 567,181 | mfu: 56.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.991409 | lrm: 1.00 | dt: 924ms | tok/sec: 567,232 | mfu: 56.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.794500 | lrm: 1.00 | dt: 924ms | tok/sec: 567,145 | mfu: 56.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.628429 | lrm: 1.00 | dt: 925ms | tok/sec: 567,102 | mfu: 56.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.491965 | lrm: 1.00 | dt: 924ms | tok/sec: 567,126 | mfu: 56.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.367525 | lrm: 1.00 | dt: 924ms | tok/sec: 567,172 | mfu: 56.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.259569 | lrm: 1.00 | dt: 925ms | tok/sec: 567,019 | mfu: 56.1% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 6.165677 | lrm: 1.00 | dt: 925ms | tok/sec: 567,059 | mfu: 56.1% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 6.081520 | lrm: 1.00 | dt: 925ms | tok/sec: 567,036 | mfu: 56.1% | epoch: 1 | remaining: 296s    
