Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011626 | lrm: 1.00 | dt: 26075ms | tok/sec: 20,106 | mfu: 6.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.191628 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,549 | mfu: 67.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.983125 | lrm: 1.00 | dt: 2640ms | tok/sec: 198,581 | mfu: 67.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.583015 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,537 | mfu: 67.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.157655 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,533 | mfu: 67.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.787163 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,449 | mfu: 67.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.488797 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,442 | mfu: 67.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.233376 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,441 | mfu: 67.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.017757 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,510 | mfu: 67.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.831165 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,460 | mfu: 67.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.674904 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,473 | mfu: 67.8% | epoch: 1 | remaining: 300s    
